gname,target,Number_of_Cases
Environmental Life Force,Business,1
Environmentalists,Business,4
Environmentalists,Utilities,1
Enyele Militia,Airports & Aircraft,1
Enyele Militia,Military,1
Epanastatiki Anatropi (Revolutionary Overthrow),Business,1
Equilibrio Nacional,Government (General),1
Eritrean Liberation Front,Airports & Aircraft,4
Eritrean Liberation Front,Business,7
Eritrean Liberation Front,Government (Diplomatic),3
Eritrean Liberation Front,Government (General),1
Eritrean Liberation Front,Journalists & Media,1
Eritrean Liberation Front,Maritime,1
Eritrean Liberation Front,Military,3
Eritrean Liberation Front,Private Citizens & Property,1
Eritrean Peoples Liberation Front,Government (General),1
Eritrean Peoples Liberation Front,Journalists & Media,1
Eritrean Peoples Liberation Front,Police,1
Eritrean Peoples Liberation Front,Utilities,1
Eritrean Salvation Front (ESF),Military,1
Erotic Anti-authority Cells,Business,1
Ethiopian Dongiro tribesmen,Food or Water Supply,1
Ethiopian People's Revolutionary Party,Business,3
Ethiopian People's Revolutionary Party,Government (General),1
Ethiopian People's Revolutionary Party,Violent Political Party,1
Ethiopians,Airports & Aircraft,2
Ethnic Russian Separatists,Government (General),1
Etnocacerista Movement,Police,1
Eva Peron Organization,Business,2
Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),Business,3
Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),Government (General),1
Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),Utilities,1
Evangelical Christians,Private Citizens & Property,1
Ex-Somoza National Guard,Educational Institution,1
Ex-Somoza National Guard,Government (Diplomatic),1
Ex-Somoza National Guard,Military,11
Ex-Somoza National Guard,Police,4
Ex-Somoza National Guard,Private Citizens & Property,4
Ex-Somoza National Guard,Terrorists/Non-State Militia,2
Extortionists,Business,4
Extraparliamentary Opposition (APO),Business,3
Extraparliamentary Opposition (APO),Government (Diplomatic),1
Extraparliamentary Opposition (APO),Government (General),1
Extraparliamentary Opposition (APO),Private Citizens & Property,1
Extreme Left,Military,1
Extreme Right Commando Brigade,Government (General),1
Extreme Right-wing Socialist Phalange,Utilities,1
Extremist Nat'list Group,Business,1
Extremists,Business,6
Extremists,Educational Institution,1
Extremists,Government (General),4
Extremists,Journalists & Media,2
Extremists,Military,2
Extremists,Police,1
Extremists,Private Citizens & Property,4
Extremists,Religious Figures/Institutions,1
Extremists,Transportation,2
Extremists,Utilities,5
FACDM,Business,1
Face to Face (Face-a-Face),Government (General),1
Faithful Resistance,Terrorists/Non-State Militia,1
Fajr al-Umma Brigade,Military,1
Falange,Telecommunication,1
Falangist Security Group,Other,1
Falangist Vanguard,Government (Diplomatic),1
Fanatical Ecologists,Utilities,1
Fanmi Lavalas,Government (General),1
Faqra Tribal Group,Police,1
Farabundo Marti National Liberation Front (FMLN),Airports & Aircraft,3
Farabundo Marti National Liberation Front (FMLN),Business,262
Farabundo Marti National Liberation Front (FMLN),Educational Institution,3
Farabundo Marti National Liberation Front (FMLN),Food or Water Supply,4
Farabundo Marti National Liberation Front (FMLN),Government (Diplomatic),19
Farabundo Marti National Liberation Front (FMLN),Government (General),149
Farabundo Marti National Liberation Front (FMLN),Journalists & Media,53
Farabundo Marti National Liberation Front (FMLN),Military,1230
Farabundo Marti National Liberation Front (FMLN),NGO,3
Farabundo Marti National Liberation Front (FMLN),Police,123
Farabundo Marti National Liberation Front (FMLN),Private Citizens & Property,367
Farabundo Marti National Liberation Front (FMLN),Telecommunication,53
Farabundo Marti National Liberation Front (FMLN),Terrorists/Non-State Militia,7
Farabundo Marti National Liberation Front (FMLN),Transportation,144
Farabundo Marti National Liberation Front (FMLN),Unknown,6
Farabundo Marti National Liberation Front (FMLN),Utilities,923
Farabundo Marti National Liberation Front (FMLN),Violent Political Party,2
Farighan,Airports & Aircraft,1
Farighan,Government (General),1
Farighan,Journalists & Media,1
Farm Animal Revenge Militia (FARM),Business,2
Farmer's Movement of the Philippines (KMP),Police,1
Farmer's Movement of the Philippines (KMP),Terrorists/Non-State Militia,1
Farmers,Government (Diplomatic),1
Farmers,Government (General),1
Farmers,Private Citizens & Property,2
Farmers,Transportation,1
Fatah Hawks,Business,1
Fatah Hawks,Educational Institution,1
Fatah Hawks,Journalists & Media,1
Fatah Hawks,Police,1
Fatah Hawks,Private Citizens & Property,1
Fatah Uprising,Airports & Aircraft,1
Fatah Uprising,Military,3
Fatah Uprising,Transportation,2
Fatah al-Islam,Government (Diplomatic),1
Fatah al-Islam,Military,1
Fatah al-Islam,NGO,1
Fatah al-Islam,Terrorists/Non-State Militia,1
Father of the Poor,Government (General),1
Fatherland,Journalists & Media,1
Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL),Business,1
Fatoni Warriors,Tourists,1
February 14th Movement,Business,1
February 14th Movement,Educational Institution,1
February 14th Movement,Private Citizens & Property,1
February 14th Movement,Unknown,1
February 14th Movement,Utilities,1
February 17 Martyrs Brigade,Private Citizens & Property,5
February 17 Martyrs Brigade,Terrorists/Non-State Militia,1
February 27 Revolutionary Armed Forces,Journalists & Media,1
February 28 Popular League (El Salvador),Business,2
February 28 Popular League (El Salvador),Government (Diplomatic),3
February 28 Popular League (El Salvador),Government (General),1
February 28 Popular League (El Salvador),Journalists & Media,3
February 28 Popular League (El Salvador),Private Citizens & Property,3
February 28 Popular League (El Salvador),Religious Figures/Institutions,1
February 28 Popular League (El Salvador),Telecommunication,1
February 28 Popular League (El Salvador),Transportation,1
Fedayeen,Journalists & Media,1
Fedayeen,Private Citizens & Property,1
Fedayeen,Transportation,1
Fedayeen Imam Mahdi,Government (General),1
Fedayeen Khalq (People's Commandos),Airports & Aircraft,4
Fedayeen Khalq (People's Commandos),Government (Diplomatic),3
Fedayeen of the Imperial Iranian Monarchy,Airports & Aircraft,1
Federation of Students and Scholars of Cote d'Ivoire (FESCI),Educational Institution,1
Federation of Students and Scholars of Cote d'Ivoire (FESCI),Journalists & Media,1
Feliciano Argueta Front,Government (General),1
Feminist extremists,Police,1
Fetullah Terrorist Organization,Police,1
Fezzan Province of the Islamic State,Business,2
Fezzan Province of the Islamic State,Military,3
Fezzan Province of the Islamic State,Other,1
Fezzan Province of the Islamic State,Police,1
Fezzan Province of the Islamic State,Private Citizens & Property,2
Fezzan Province of the Islamic State,Unknown,1
Fight Against Authority,Educational Institution,1
Fight Xenophobia,Government (General),1
Fighters for Communism,Business,1
Fighters for Communism,Government (General),1
Fighters for the Liberation of the Turkish People,Police,1
Fighters of Democratic Latvia,Transportation,1
Fighters of the People,Journalists & Media,1
Fighting Communist Front,Government (General),1
Fighting Communist Unit,Private Citizens & Property,1
Fighting Communists,Private Citizens & Property,1
Fighting Ecologist Movement,Utilities,1
Fighting For Freedom Coalition (FFFC-Ottawa),Business,1
Fighting Guerrilla Formation,Airports & Aircraft,1
Fighting Guerrilla Formation,Educational Institution,1
Fighting Guerrilla Formation,Government (Diplomatic),1
Fighting Guerrilla Formation,Government (General),2
Fighting Nucleus for Communism,Business,1
Fighting Popular Rally,Military,7
Fighting Proletarian Front,Private Citizens & Property,1
Fighting Proletarian Squads,Business,1
Fighting Proletarian Squads,Private Citizens & Property,12
Fighting Women,Business,1
Fighting Workers for Communism,Business,1
Filipino Communists,Private Citizens & Property,1
Filipino Soldiers for the Country,Transportation,2
Fire Group,Government (General),2
Fire Group,Private Citizens & Property,1
Fire and Flame for the Police (FFdP),Police,2
First Capital Command (PCC),Business,1
First May Movement,Government (General),1
First of October Antifascist Resistance Group (GRAPO),Airports & Aircraft,2
First of October Antifascist Resistance Group (GRAPO),Business,62
First of October Antifascist Resistance Group (GRAPO),Government (Diplomatic),4
First of October Antifascist Resistance Group (GRAPO),Government (General),35
First of October Antifascist Resistance Group (GRAPO),Journalists & Media,11
First of October Antifascist Resistance Group (GRAPO),Military,14
First of October Antifascist Resistance Group (GRAPO),Police,58
First of October Antifascist Resistance Group (GRAPO),Private Citizens & Property,13
First of October Antifascist Resistance Group (GRAPO),Telecommunication,1
First of October Antifascist Resistance Group (GRAPO),Transportation,4
First of October Antifascist Resistance Group (GRAPO),Unknown,1
First of October Antifascist Resistance Group (GRAPO),Utilities,4
First of October Antifascist Resistance Group (GRAPO),Violent Political Party,1
Flying Eagles (Vigilante Group),Private Citizens & Property,1
Foibe tribe,Private Citizens & Property,1
Forbid the Evil Group (Muslim Extremists),Business,3
Forbidden Blockade (Greece),Government (Diplomatic),1
Force 17,Business,2
Force 17,Government (General),1
Force 17,Maritime,1
Force 17,Military,3
Force 17,Police,1
Force 17,Private Citizens & Property,3
Force 17,Transportation,2
Force Etudiante Critique,Transportation,1
Forces for the Defense of Democracy (FDD),Government (General),1
Forces for the Defense of Democracy (FDD),NGO,1
Forces for the Defense of Democracy (FDD),Private Citizens & Property,2
Forces for the Defense of Democracy (FDD),Religious Figures/Institutions,1
Forces for the Unification of the Central African Republic (FIRCA),Private Citizens & Property,1
Forces of the Free Arab,Military,1
Forces of the Struggling Ranks,Government (Diplomatic),4
Forest Brothers,Military,1
Forest Brothers,Utilities,1
Former Border Policeman,Government (General),1
Former Govt. Troops,Business,1
Former Govt. Troops,Utilities,1
Former Interior Ministry Officers,Government (Diplomatic),2
Former Interior Ministry Officers,Religious Figures/Institutions,1
Former Muslim Guerrillas,Business,1
Former Soldiers/Police,Military,1
Former Soldiers/Police,Police,1
Former Student Hostel,Military,1
Former members Central Investigation Office,Airports & Aircraft,1
Forqan Group,Business,3
Forqan Group,Educational Institution,1
Forqan Group,Government (Diplomatic),1
Forqan Group,Government (General),6
Forqan Group,Journalists & Media,1
Forqan Group,Private Citizens & Property,2
Forqan Group,Religious Figures/Institutions,4
Forum for the Restoration of Democracy-Kenya,Government (General),1
Forum for the Restoration of Democracy-Kenya,Private Citizens & Property,1
Four Martyrs Brigade,Government (General),1
Fourth Reich Skinheads,Private Citizens & Property,1
France's Honour,Private Citizens & Property,1
Francia,Business,1
Francia,Private Citizens & Property,7
Francisco Villa People's Front,Police,1
Francisco Villa People's Front,Violent Political Party,1
Fred Hampton Unit of the People's Forces,Airports & Aircraft,1
Fred Hampton Unit of the People's Forces,Business,1
Fred Hampton Unit of the People's Forces,Government (General),2
Fred Hampton Unit of the People's Forces,Military,1
Free Aceh Movement (GAM),Airports & Aircraft,1
Free Aceh Movement (GAM),Business,13
Free Aceh Movement (GAM),Educational Institution,14
Free Aceh Movement (GAM),Government (Diplomatic),1
Free Aceh Movement (GAM),Government (General),9
Free Aceh Movement (GAM),Journalists & Media,2
Free Aceh Movement (GAM),Military,22
Free Aceh Movement (GAM),NGO,1
Free Aceh Movement (GAM),Police,24
Free Aceh Movement (GAM),Private Citizens & Property,20
Free Aceh Movement (GAM),Transportation,4
Free Aceh Movement (GAM),Unknown,1
Free Aceh Movement (GAM),Utilities,4
Free All Political Prisoners in Holland,Military,1
Free Balochistan Army (FBA),Government (General),1
Free Democratic People's Government of Laos,Private Citizens & Property,1
Free Fatherland,Private Citizens & Property,1
Free Fatherland,Telecommunication,1
Free Fatherland Youth Guerrilla Army,Telecommunication,1
Free Galician People's Guerrilla Army,Business,26
Free Galician People's Guerrilla Army,Food or Water Supply,1
Free Galician People's Guerrilla Army,Government (General),4
Free Galician People's Guerrilla Army,Police,3
Free Galician People's Guerrilla Army,Private Citizens & Property,10
Free Galician People's Guerrilla Army,Utilities,3
Free Lebanon,Government (Diplomatic),1
Free Libya Martyrs Brigade,Military,2
Free Libya Martyrs Brigade,Private Citizens & Property,1
Free Nasserite Revolutionaries,Government (Diplomatic),1
Free Network South (Freies Netz Sued),Private Citizens & Property,1
Free Papua Movement (OPM-Organisasi Papua Merdeka),Business,11
Free Papua Movement (OPM-Organisasi Papua Merdeka),Government (Diplomatic),1
Free Papua Movement (OPM-Organisasi Papua Merdeka),Government (General),1
Free Papua Movement (OPM-Organisasi Papua Merdeka),Military,9
Free Papua Movement (OPM-Organisasi Papua Merdeka),Police,12
Free Papua Movement (OPM-Organisasi Papua Merdeka),Private Citizens & Property,7
Free Papua Movement (OPM-Organisasi Papua Merdeka),Religious Figures/Institutions,2
Free Papua Movement (OPM-Organisasi Papua Merdeka),Tourists,1
Free Revolutionaries Movement-The Giants,Business,1
Free Syrian Army,Airports & Aircraft,1
Free Syrian Army,Business,3
Free Syrian Army,Educational Institution,2
Free Syrian Army,Government (Diplomatic),2
Free Syrian Army,Government (General),8
Free Syrian Army,Journalists & Media,5
Free Syrian Army,Military,57
Free Syrian Army,Police,1
Free Syrian Army,Private Citizens & Property,36
Free Syrian Army,Religious Figures/Institutions,2
Free Syrian Army,Terrorists/Non-State Militia,2
Free Syrian Army,Unknown,1
Free Vietnam Movement,Government (Diplomatic),1
Free and Democratic Society of Eastern Kurdistan (KODAR),Military,1
Freedom Eagles of Africa,NGO,2
Freedom Party,Private Citizens & Property,1
Freedom Party,Violent Political Party,2
Freital Group,Government (General),1
Freital Group,Private Citizens & Property,2
French Armed Islamic Front,Government (Diplomatic),1
French Basque Nationalists,Business,1
French Liberation Front,Private Citizens & Property,1
French National,Private Citizens & Property,1
Friendly Company,Business,1
Friends of Freedom,Government (Diplomatic),1
Friends of Freedom,Police,1
Friends of Loukanikos,Government (Diplomatic),1
Front For the Liberation of the Azores,Government (General),4
Front For the Liberation of the Azores,Journalists & Media,1
Front For the Liberation of the Azores,Police,3
Front Line Armed Nuclei (FLAN),Police,1
Front de Liberation du Quebec (FLQ),Government (General),2
Front for Armenian Liberation,Government (Diplomatic),1
Front for Peace and Reconciliation (FRP),Government (General),1
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC),Business,2
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC),Military,4
Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC),Police,1
Front for the Liberation of Lebanon from Foreigners,Business,4
Front for the Liberation of Lebanon from Foreigners,Educational Institution,1
Front for the Liberation of Lebanon from Foreigners,Government (Diplomatic),2
Front for the Liberation of Lebanon from Foreigners,Military,1
Front for the Liberation of Lebanon from Foreigners,Police,1
Front for the Liberation of Lebanon from Foreigners,Private Citizens & Property,4
Front for the Liberation of Lebanon from Foreigners,Terrorists/Non-State Militia,2
Front for the Liberation of the Enclave of Cabinda (FLEC),Business,9
Front for the Liberation of the Enclave of Cabinda (FLEC),Government (General),2
Front for the Liberation of the Enclave of Cabinda (FLEC),Military,1
Front for the Liberation of the Enclave of Cabinda (FLEC),Police,1
Front for the Liberation of the Enclave of Cabinda (FLEC),Private Citizens & Property,2
Front for the Liberation of the Enclave of Cabinda (FLEC),Transportation,1
Front for the Liberation of the Enclave of Cabinda (FLEC),Utilities,1
Front for the Liberation of the French Somali Coast,Government (Diplomatic),2
Front for the Liberation of the French Somali Coast,Unknown,1
Front for the National Liberation of Puerto Rico,Business,1
Front for the National Liberation of Puerto Rico,Military,2
Front for the Restoration of Unity and Democracy,Military,4
Front for the Restoration of Unity and Democracy,Police,1
Front for the Restoration of Unity and Democracy,Private Citizens & Property,1
Front of French National Liberation,Private Citizens & Property,1
Front of Resistance and National Liberation of Albanians,Police,1
Fronte Paesanu Corsu di Liberazione (FPCL),Military,1
Fuerza Nueva,Business,2
Fuerza Nueva,Private Citizens & Property,3
Fuerzas Armadas Revolucionarias del Pueblo (FARP),Business,2
Fuerzas Armadas Revolucionarias del Pueblo (FARP),Police,1
Fuerzas Armadas de Liberacion Nacional (FALN),Airports & Aircraft,3
Fuerzas Armadas de Liberacion Nacional (FALN),Business,75
Fuerzas Armadas de Liberacion Nacional (FALN),Government (Diplomatic),1
Fuerzas Armadas de Liberacion Nacional (FALN),Government (General),20
Fuerzas Armadas de Liberacion Nacional (FALN),Journalists & Media,1
Fuerzas Armadas de Liberacion Nacional (FALN),Military,8
Fuerzas Armadas de Liberacion Nacional (FALN),Police,7
Fuerzas Armadas de Liberacion Nacional (FALN),Private Citizens & Property,2
Fuerzas Armadas de Liberacion Nacional (FALN),Utilities,3
Fuerzas AutonÃ³micas y Destructivas LeÃ³n Czolgoscz,Government (General),1
Fuerzas Populares Jose Leonardo Chirinos,Government (General),1
Fulani extremists,Business,5
Fulani extremists,Educational Institution,2
Fulani extremists,Government (Diplomatic),1
Fulani extremists,Government (General),22
Fulani extremists,Military,4
Fulani extremists,Police,12
Fulani extremists,Private Citizens & Property,451
Fulani extremists,Religious Figures/Institutions,11
Fulani extremists,Terrorists/Non-State Militia,1
Fulani extremists,Transportation,1
Fulani extremists,Violent Political Party,1
Fundamentalists,Government (General),1
Fundamentalists,Utilities,1
Furious Rebellion,Private Citizens & Property,1
Future movement (Lebanon),Private Citizens & Property,1
GAC,Business,3
GAC,Government (Diplomatic),1
GAC,Journalists & Media,2
GAC,Telecommunication,1
GN-95,Business,1
GP II,Religious Figures/Institutions,1
Gaddafi loyalists,Private Citizens & Property,1
Ganda Koi,Private Citizens & Property,1
Gang,Government (General),1
Gang,Police,2
Gang,Private Citizens & Property,1
Gang separatists terrorists,Business,1
Gangs of Conscience,Police,1
Gangs of Conscience,Transportation,1
Garo National Liberation Army,Business,27
Garo National Liberation Army,Educational Institution,5
Garo National Liberation Army,Government (General),18
Garo National Liberation Army,Military,6
Garo National Liberation Army,Police,52
Garo National Liberation Army,Private Citizens & Property,53
Garo National Liberation Army,Terrorists/Non-State Militia,2
Garo National Liberation Army,Transportation,1
Garo National Liberation Army,Utilities,2
Gathering to Aid the Oppressed,Business,1
Gay Liberation Front,Business,1
Gay Liberation Front,Private Citizens & Property,1
Gazteriak,Telecommunication,1
Gbagbo Loyalists,Business,4
Gbagbo Loyalists,Government (Diplomatic),1
Gbagbo Loyalists,Government (General),1
Gbagbo Loyalists,Military,8
Gbagbo Loyalists,Police,4
Generation of Arab Fury,Religious Figures/Institutions,2
George Jackson Brigade,Business,14
George Jackson Brigade,Government (General),3
George Jackson Brigade,Transportation,1
George Jackson Brigade,Utilities,2
Georgian Militants,Private Citizens & Property,1
Georgian Militants,Terrorists/Non-State Militia,1
Georgian Militants,Transportation,1
Georgian Sabotage Group,Police,1
Georgian extremists,Government (General),2
Georgian extremists,Police,2
Georgian guerrillas,Transportation,1
German Resistance Movement,Government (General),1
German Resistance Movement,Private Citizens & Property,1
German Speaking Separatists,Business,1
German Speaking Separatists,Government (General),1
German Speaking Separatists,Utilities,1
Ghniwah Militia,Government (General),1
Gholam Yahya Akbar,NGO,1
Gilad Shalhevet Brigades,Private Citizens & Property,1
Global Intifada,Business,1
Global Intifada,Government (Diplomatic),2
God our Father Cult,Military,1
God's Army,Business,2
God's Oppressed Army,Government (General),2
Golden Dawn,Private Citizens & Property,1
Gono Bahini (GB),Terrorists/Non-State Militia,2
Good Vision Party (India),Educational Institution,1
Gorkha Janmukti Morcha (GJM),Business,2
Gorkha Janmukti Morcha (GJM),Government (General),26
Gorkha Janmukti Morcha (GJM),Other,1
Gorkha Janmukti Morcha (GJM),Police,16
Gorkha Janmukti Morcha (GJM),Private Citizens & Property,15
Gorkha Janmukti Morcha (GJM),Tourists,3
Gorkha Janmukti Morcha (GJM),Transportation,3
Gorkha Janmukti Morcha (GJM),Utilities,1
Gorkha Liberation Army (GLA),Business,1
Gorkha Liberation Army (GLA),Government (General),2
Gorkha Liberation Army (GLA),Police,2
Gorkha Liberation Army (GLA),Private Citizens & Property,3
Gorkha Liberation Army (GLA),Transportation,1
Government Supporters,Government (General),2
Government Supporters,Private Citizens & Property,1
Gracchus Babeuf,Business,1
Gracchus Babeuf,Educational Institution,1
Gracchus Babeuf,Government (General),1
Gracchus Babeuf,Journalists & Media,1
Gracchus Babeuf,Religious Figures/Institutions,1
Great Eastern Islamic Raiders Front (IBDA-C),Business,7
Great Eastern Islamic Raiders Front (IBDA-C),Educational Institution,5
Great Eastern Islamic Raiders Front (IBDA-C),Food or Water Supply,1
Great Eastern Islamic Raiders Front (IBDA-C),Government (Diplomatic),1
Great Eastern Islamic Raiders Front (IBDA-C),Government (General),4
Great Eastern Islamic Raiders Front (IBDA-C),Journalists & Media,3
Great Eastern Islamic Raiders Front (IBDA-C),NGO,1
Great Eastern Islamic Raiders Front (IBDA-C),Private Citizens & Property,2
Great Eastern Islamic Raiders Front (IBDA-C),Religious Figures/Institutions,6
Great Eastern Islamic Raiders Front (IBDA-C),Telecommunication,1
Great Eastern Islamic Raiders Front (IBDA-C),Unknown,5
Great Japan Patriotic Party,Government (General),1
Greater Damascus Operations Room,Military,1
Greater Damascus Operations Room,Private Citizens & Property,1
Greek Anarchists' Union,Government (General),1
Greek Anarchists' Union,Police,1
Greek Anti-Dictatorial Youth (EAN),Government (General),1
Greek Bulgarian Armenian Front,Government (Diplomatic),1
Greek National Socialist Organization,Business,1
Greek National Socialist Organization,Government (Diplomatic),1
Greek National Socialist Organization,Journalists & Media,1
Greek Popular Resistance,Government (General),1
Grey Wolves,Government (General),4
Grey Wolves,Journalists & Media,1
Grey Wolves,NGO,1
Grey Wolves,Private Citizens & Property,1
Grey Wolves,Religious Figures/Institutions,1
Group Yuri Choukewitch,Government (Diplomatic),1
Group for Martyred Isam as-Sartawi,Educational Institution,1
Group for Martyred Isam as-Sartawi,Government (Diplomatic),1
Group for a Strong Revolutionary Movement,Business,1
Group of Carlo Giuliani,Business,1
Group of Popular Fighters,Business,2
Group of Popular Fighters,Government (Diplomatic),2
Group of Popular Fighters,Government (General),2
Group of Popular Fighters,Private Citizens & Property,2
Group of the Fatima Church Attack,Government (General),1
Groups Seeking Independence,Government (General),1
Groups for Dissemination of Revolutionary Theory and Action,Private Citizens & Property,1
Groups of Martyr Baha Eleyan,Military,1
Grozny Jamaat,Military,1
Grupo Armado de Liberacion Argentina (GALA),Government (General),1
Grupo Estrella,Military,1
Grupo Estrella,Private Citizens & Property,1
Grupo Estrella,Utilities,2
Grupo Libertad,Government (General),1
Grupo de Combatientes Populares,NGO,1
Grupo de Combatientes Populares,Private Citizens & Property,1
Gruppe Haw Weg Den Scheiss,Utilities,2
Guadalcanal Liberation Army,Private Citizens & Property,1
Guadalcanal Liberation Front (GLF),Government (General),1
Guadeloupe Liberation Army,Airports & Aircraft,2
Guadeloupe Liberation Army,Business,1
Guadeloupe Liberation Army,Government (General),2
Guadeloupe Liberation Army,Police,1
Guadeloupe Liberation Army,Transportation,1
Guadeloupe Separatists,Business,1
Guajajara Tribe,Transportation,1
Guardians of the Islamic Revolution,Government (General),1
Guardians of the Islamic Revolution,Private Citizens & Property,1
Guards of the Fighting Proletariat,Police,1
Guardsmen of Islam,Airports & Aircraft,1
Guardsmen of Islam,Government (General),1
Guatemalan Communist Party,Private Citizens & Property,2
Guatemalan Labor Party (PGT),Airports & Aircraft,1
Guatemalan Labor Party (PGT),Business,5
Guatemalan Labor Party (PGT),Educational Institution,2
Guatemalan Labor Party (PGT),Government (Diplomatic),3
Guatemalan Labor Party (PGT),Government (General),3
Guatemalan Labor Party (PGT),Journalists & Media,3
Guatemalan Labor Party (PGT),Military,1
Guatemalan Labor Party (PGT),Private Citizens & Property,4
Guatemalan National Revolutionary Unity (URNG),Airports & Aircraft,1
Guatemalan National Revolutionary Unity (URNG),Business,11
Guatemalan National Revolutionary Unity (URNG),Educational Institution,1
Guatemalan National Revolutionary Unity (URNG),Government (Diplomatic),1
Guatemalan National Revolutionary Unity (URNG),Government (General),19
Guatemalan National Revolutionary Unity (URNG),Journalists & Media,4
Guatemalan National Revolutionary Unity (URNG),Military,35
Guatemalan National Revolutionary Unity (URNG),Police,5
Guatemalan National Revolutionary Unity (URNG),Private Citizens & Property,24
Guatemalan National Revolutionary Unity (URNG),Religious Figures/Institutions,1
Guatemalan National Revolutionary Unity (URNG),Telecommunication,1
Guatemalan National Revolutionary Unity (URNG),Transportation,8
Guatemalan National Revolutionary Unity (URNG),Unknown,2
Guatemalan National Revolutionary Unity (URNG),Utilities,18
Guatemalan hired assasins,Government (General),1
Guaycaipuro Indians,Transportation,1
Guerilla Party of the Galician Poor,Business,3
Guerrilla Army of the Poor (EGP),Airports & Aircraft,6
Guerrilla Army of the Poor (EGP),Business,23
Guerrilla Army of the Poor (EGP),Educational Institution,1
Guerrilla Army of the Poor (EGP),Food or Water Supply,1
Guerrilla Army of the Poor (EGP),Government (Diplomatic),3
Guerrilla Army of the Poor (EGP),Government (General),20
Guerrilla Army of the Poor (EGP),Journalists & Media,5
Guerrilla Army of the Poor (EGP),Military,34
Guerrilla Army of the Poor (EGP),Police,23
Guerrilla Army of the Poor (EGP),Private Citizens & Property,27
Guerrilla Army of the Poor (EGP),Telecommunication,3
Guerrilla Army of the Poor (EGP),Tourists,1
Guerrilla Army of the Poor (EGP),Transportation,4
Guerrilla Army of the Poor (EGP),Unknown,3
Guerrilla Army of the Poor (EGP),Utilities,2
Guerrilla Army of the Poor (EGP),Violent Political Party,1
Guerrilla Command Force 97,Government (General),1
Guerrilla Commando of the people,Business,1
Guerrilla Forces for Liberation,Business,4
Guerrilla Forces for Liberation,Government (Diplomatic),1
Guerrilla Forces for Liberation,Government (General),1
Guerrilla Forces for Liberation,Police,1
Guerrilla Movement of the Poor (MGP),Journalists & Media,1
Guerrillas,Business,8
Guerrillas,Government (Diplomatic),1
Guerrillas,Government (General),5
Guerrillas,Maritime,1
Guerrillas,Military,6
Guerrillas,Police,6
Guerrillas,Private Citizens & Property,18
Guerrillas,Religious Figures/Institutions,2
Guerrillas,Transportation,2
Guerrillas,Unknown,1
Guerrillas,Utilities,1
Guerrillas of Christ the King,Educational Institution,1
Guerrillas of Christ the King,Journalists & Media,1
Gugama Youth Federation,Business,1
Gulf Cartel,Private Citizens & Property,1
Gun runners,Military,1
Gunib Group,Police,1
Gunmen,Business,14
Gunmen,Educational Institution,5
Gunmen,Government (Diplomatic),4
Gunmen,Government (General),57
Gunmen,Journalists & Media,16
Gunmen,Maritime,1
Gunmen,Military,15
Gunmen,NGO,7
Gunmen,Police,49
Gunmen,Private Citizens & Property,94
Gunmen,Religious Figures/Institutions,6
Gunmen,Telecommunication,1
Gunmen,Tourists,1
Gunmen,Transportation,4
Gunmen,Unknown,2
Gunmen,Violent Political Party,4
Gunmen loyal to Mohammad Farah Aideed,Government (Diplomatic),1
Gurkha National Liberation Front (GNLF),Airports & Aircraft,1
Gurkha National Liberation Front (GNLF),Business,4
Gurkha National Liberation Front (GNLF),Educational Institution,8
Gurkha National Liberation Front (GNLF),Food or Water Supply,2
Gurkha National Liberation Front (GNLF),Government (General),9
Gurkha National Liberation Front (GNLF),Military,1
Gurkha National Liberation Front (GNLF),Police,17
Gurkha National Liberation Front (GNLF),Private Citizens & Property,7
Gurkha National Liberation Front (GNLF),Telecommunication,1
Gurkha National Liberation Front (GNLF),Transportation,3
Gurkha National Liberation Front (GNLF),Utilities,3
Gurkha National Liberation Front (GNLF),Violent Political Party,3
Gutierrez Gomez Resistance Group,Government (General),2
H-World/Heavenly Group,Police,1
Habi's Er'roub seriat,Private Citizens & Property,1
Habr Gedir Clan,Government (Diplomatic),1
Habr Gedir Clan,Military,1
Habr Gedir Clan,Private Citizens & Property,1
Hadramawt Province of the Islamic State,Military,12
Hadramawt Province of the Islamic State,Police,1
Hadramawt Province of the Islamic State,Private Citizens & Property,1
Hadramawt Province of the Islamic State,Religious Figures/Institutions,1
Hadramawt Province of the Islamic State,Unknown,1
Hadramawt Tribes Alliance,Military,2
Hadramawt Tribes Alliance,Utilities,1
Hafeez Brohi Group,Private Citizens & Property,1
Hafiz Gul Bahadur Group,Military,1
Haftar Militia,Business,2
Haftar Militia,Government (General),2
Haftar Militia,Maritime,1
Haftar Militia,Military,1
Haftar Militia,Private Citizens & Property,5
Haftar Militia,Terrorists/Non-State Militia,11
Haftar Militia,Unknown,3
Haika,Government (General),1
Haji Fateh,NGO,1
Halqa-e-Mehsud,Business,2
Halqa-e-Mehsud,Educational Institution,1
Halqa-e-Mehsud,Government (General),1
Halqa-e-Mehsud,Military,13
